26.0, 75.85042977333069
27.0, 104.79002928733826
26.0, 48.49650955200195
25.0, 68.6402235031128
27.0, 77.39277648925781
25.0, 16.310429096221924
24.0, 42.519007444381714
24.0, 93.72223687171936
25.0, 75.90909957885742
25.0, 70.88899755477905
24.0, 47.07435917854309
25.0, 33.7231183052063
25.0, 14.610767841339111
28.0, 24.386882305145264
28.0, 54.37625312805176
25.0, 24.391942024230957
26.0, 42.9658727645874
28.0, 88.03109645843506
25.0, 103.75875568389893
24.0, 103.99719858169556
26.0, 78.70416903495789
26.0, 71.72207450866699
25.0, 21.667975902557373
25.0, 36.93619084358215
25.0, 90.70191431045532
24.0, 49.5331609249115
28.0, 22.775179386138916
28.0, 49.87540626525879
25.0, 26.04212260246277
26.0, 31.58221125602722
26.0, 62.22215795516968
27.0, 42.397910356521606
27.0, 46.11451601982117
26.0, 31.682486534118652
26.0, 28.594682693481445
25.0, 104.97737240791321
26.0, 77.99201321601868
27.0, 66.40234422683716
27.0, 25.364794492721558
27.0, 102.31484770774841
24.0, 74.90708827972412
26.0, 22.78749990463257
25.0, 87.72275900840759
29.0, 75.87097477912903
28.0, 40.629289865493774
25.0, 95.85471224784851
26.0, 95.13465523719788
24.0, 69.23327040672302
26.0, 94.63568353652954
28.0, 24.58745813369751
